country,country_code,Active Personnel,Attack Helicopters,Defense Budget,Tanks,Total Population,HexColor
Russia,RUS,850000,538,48462000000,12566,142418893,#0073CF
Rwanda,RWN,33000,0,113580000,31,14072697,#FFD100
Saudi Arabia,SAR,225000,258,67500000000,1062,35880358,#00843D
Serbia,SRB,28000,0,1042800000,245,6939867,#C6363C
Singapore,SNG,72000,0,12062000000,164,5981850,#EF3340
Slovakia,SLK,17000,0,1062000000,45,5455335,#D7141A
Slovenia,SLN,7200,0,619000000,0,2097464,#ED2939
Somalia,SOM,20000,0,170000000,0,17372785,#418FDE
South Africa,SAF,66000,11,3143000000,195,59912414,#FFB81C
South Korea,ROK,555000,112,44686180000,2414,51299689,#C8102E
South Sudan,SSD,18500,0,35340000,40,11510983,#FFFFFF
Spain,ESP,125000,46,20900000000,327,47024474,#C60C30
Sri Lanka,SLK,163000,0,1495000000,150,22300300,#00843D
Sudan,SUD,105000,36,803200000,450,48112692,#007A33
Sweden,SWE,24000,0,5241260000,134,10425462,#004B87
Switzerland,SWI,21000,0,4500000000,0,8711230,#FF0000
Syria,SYR,142000,77,1500000000,3740,18448669,#D71A28
Tajikistan,TAJ,8000,0,132000000,500,9985642,#C8102E
Tanzania,TNZ,27000,0,170000000,0,63126810,#3E4095
Thailand,THA,400000,7,6807600000,814,69799978,#A51931
Timor-Leste,TLT,1100,0,29400000,0,1387964,#FFFFFF
Togo,TOG,13000,0,115720000,10,8483640,#FFD100
Trinidad and Tobago,TTO,4000,0,66400000,0,1394971,#CE1126
Tunisia,TUN,36000,8,1100000000,200,12245893,#E70013
Turkey,TUR,355200,80,20728000000,3022,82681947,#E30A17
Turkmenistan,TKM,35000,0,100000000,900,6030000,#009739
Uganda,UGA,45000,0,370000000,25,44679570,#FFE200
Ukraine,UKR,230000,112,3200000000,2596,41660983,#FFD700
United Arab Emirates,UAE,64000,30,13551000000,390,9346124,#C8102E
United Kingdom,UK,194000,41,55400000000,227,67530172,#CF102D
United States,USA,1400000,967,738000000000,6100,334998398,#3C3B6E
Uruguay,URY,23000,0,513800000,88,3508398,#FCDD09
Uzbekistan,UZB,50000,0,301000000,420,35580054,#009739
Venezuela,VEN,123000,15,483900000,1400,32414573,#FFB81C
Vietnam,VNM,482000,26,5870000000,1864,97429061,#DA1A32
Yemen,YEM,66000,0,1250000000,100,32907379,#C8102E
Zambia,ZMB,15000,0,54000000,55,19363685,#00843D
Zimbabwe,ZIM,30000,0,42000000,120,15124863,#FFD100
